datetime,n_held,overlap_with_top20_same_day,overlap_with_top20_lag1_signal,n_outside_top20_lag1,mean_held_rank,max_held_rank,cash_weight,weight_l1_dev_from_ew,max_stock_weight,min_stock_weight,bench,static_top20_today_excess_label,static_top20_lag1_excess_label,static_top20_today_excess_cc,static_top20_lag1_excess_cc,held_ew_excess_label,held_ew_excess_cc,held_weighted_excess_label,held_inside_lag_top20_excess_label,held_outside_lag_top20_excess_label,portfolio_excess_with_cost,portfolio_excess_without_cost,portfolio_cost
2020-01-03,20,0.3,1.0,0,175.55,502.0,0.0,5.511899040695767e-06,0.05000041301132509,0.04999858922586478,0.002220630645751953,-0.006236517429351806,-0.008118897676467896,,,-0.008118897676467896,-0.0058786975401744716,-0.00811892274060503,-0.008118897676467896,,0.003426860300368369,0.0035218596458433155,9.499934547494668e-05
2020-01-06,20,0.25,0.4,12,181.25,496.0,-2.220446049250313e-16,0.07677827496647109,0.06919519932129754,0.0468820224487825,-0.0005539059638977051,0.0035754650831222533,0.004805502295494079,,,0.006370741128921509,0.0011367840386810712,0.0062605429858821554,0.0050039514899253845,0.007281934221585591,-0.003547708955232406,-0.003524451488639906,2.325746659249982e-05
2020-01-07,20,0.2,0.35,13,208.3,496.0,1.1102230246251565e-16,0.07866303918593626,0.06972928249619756,0.046389606049320055,0.004618525505065918,-0.00020418763160705565,-0.002666032314300537,,,0.0013914138078689575,-0.008560228389978875,0.0013143648277893544,-0.0007296545164925712,0.0025335275209867037,-0.005279142323608773,-0.00525554099202542,2.3601331583353673e-05
2020-01-08,20,0.1,0.3,14,221.85,471.0,2.220446049250313e-16,0.0772892815415665,0.0693136227078358,0.04604049647567171,0.001287221908569336,-0.0010400176048278808,-0.003114071488380432,,,-0.00893888771533966,0.003376391384517774,-0.008868057614497146,-0.004085252682367961,-0.011019017015184675,0.006532157387788643,0.006553862744456593,2.1705356667950484e-05
2020-01-09,20,0.25,0.2,16,210.25,499.0,0.0,0.0746060996694979,0.06860293875649115,0.0461229261520587,0.002387404441833496,-0.0023156195878982545,0.002549204230308533,,,0.007508456707000732,0.001076075597666204,0.007383640830566733,0.012911349534988403,0.006157733500003815,-3.97500568393942e-05,-2.0260924761678067e-05,1.948913207771613e-05
2020-01-10,20,0.25,0.35,13,193.0,397.0,3.3306690738754696e-16,0.07498605171588577,0.06894739807112812,0.04538763665689748,0.005496501922607422,-0.0016111284494400024,0.00013615787029266357,,,-0.005596870183944702,-0.012845540652051568,-0.005331989340363339,-0.004718031202043805,-0.006070091174199031,-0.009802613177927594,-0.009783808136132957,1.880504179463813e-05
2020-01-13,20,0.15,0.35,13,218.85,489.0,0.0,0.06503627640263245,0.06086006846459704,0.044744368790495405,-0.0021865367889404297,0.004037344455718994,0.0019108772277832032,,,-0.000834771990776062,0.010010855489235837,-0.000898720541084146,0.005023292132786342,-0.003989114211155818,0.005746239176890933,0.005769309678890859,2.3070501999926204e-05
2020-01-14,20,0.15,0.25,15,215.05,502.0,-2.220446049250313e-16,0.07023677020318936,0.06121763815128722,0.0447703402555398,0.012235164642333984,-0.005637747049331665,-0.002026975154876709,,,5.7557225227355956e-05,-0.012536918494151904,0.00031129330518922955,-0.002962052822113037,0.0010640939076741536,-0.005290152513709458,-0.005270426362268116,1.972615144134276e-05
2020-01-15,20,0.15,0.25,15,237.45,502.0,-2.220446049250313e-16,0.06486433595688594,0.06091011673138471,0.04438908118764569,-0.0054122209548950195,0.005333825945854187,0.0067207634449005125,,,0.005651450157165528,-0.0010167387023102491,0.005868472367447628,0.00436784029006958,0.006079320112864176,-0.00157927812747008,-0.0015582515929329038,2.1026534537176195e-05
2020-01-16,20,0.1,0.25,15,257.35,492.0,1.1102230246251565e-16,0.06578885193545161,0.06243806382284677,0.045203163020920714,0.0016325712203979492,-0.004334497451782227,-0.0014361321926116943,,,-0.0033439874649047853,0.011740589677356184,-0.0027380042617646287,-0.0107222318649292,-0.0008845726648966471,0.00021043358035431205,0.00023010996077706299,1.967638042275093e-05
2020-01-17,20,0.1,0.2,16,279.15,490.0,2.220446049250313e-16,0.06547375261127189,0.0648063500291507,0.04523960199973081,-0.00905466079711914,0.0024664819240570067,0.00401989221572876,,,0.008082744479179383,0.008566100639291108,0.008567181500513886,0.00882035493850708,0.007898341864347458,0.004372445891742184,0.004391809685654371,1.9363793912186505e-05
2020-01-21,20,0.2,0.2,16,251.1,505.0,1.1102230246251565e-16,0.06785038600446319,0.06793412172574059,0.04521947816495635,0.004751443862915039,-0.0052598327398300174,-0.010435011982917786,,,-0.001976630091667175,-0.007296124475396936,-0.002324619096084674,-0.009506553411483765,-9.414926171302795e-05,-0.0027018356580468354,-0.0026817287478674533,2.0106910179382103e-05
2020-01-22,20,0.2,0.3,14,186.05,492.0,-2.220446049250313e-16,0.06463354921137662,0.06950363834588975,0.04464183533200051,-0.016551494598388672,-0.0018101662397384643,0.002462711930274963,,,0.008210158348083496,0.016515023815009043,0.008045567842477262,0.004674593607584636,0.009725400379725866,0.009639368336173439,0.009659201223103998,1.9832886930558896e-05
2020-01-23,20,0.1,0.3,14,246.4,500.0,0.0,0.054532624322235976,0.06833317501300556,0.0459528871160034,-0.025522470474243164,0.0024675875902175903,0.003637257218360901,,,0.006928688287734986,0.028629543753049803,0.007131814655672481,0.0027318994204203286,0.008727312088012695,-0.002474622290067472,-0.002454753992365205,1.9868297702267108e-05
2020-01-24,20,0.05,0.2,16,207.9,487.0,0.0,0.0546340347948858,0.06834798731617019,0.045990864108523204,0.014613747596740723,-0.009681198000907897,-0.008709785342216492,,,-0.005633801221847534,-0.025449984552687967,-0.005863161683880982,-0.009645923972129822,-0.004630770534276962,0.006781636260515789,0.006800764127719376,1.9127867203586497e-05
2020-01-27,20,0.1,0.15,17,175.7,492.0,0.0,0.05537843620734708,0.05903399696784175,0.04569544399182226,-0.004863440990447998,0.004560613632202148,0.0028433680534362795,,,0.006687584519386292,-0.013799336849479005,0.006258840472835782,-0.002177735169728597,0.008252052699818331,0.008310728980863385,0.008333893303769331,2.3164322905945303e-05
2020-01-28,20,0.05,0.2,16,237.15,495.0,3.3306690738754696e-16,0.058027224547603846,0.0597271970813675,0.04581516156814003,0.0020676851272583008,-0.0019481986761093139,0.000330740213394165,,,-0.0009832471609115601,0.008723344123427523,-0.0008165286946218934,0.005761444568634033,-0.0026694200932979584,-0.0041232394325596815,-0.004104097734512289,1.9141698047392657e-05
2020-01-29,20,0.0,0.15,17,247.45,480.0,0.0,0.05720629610613565,0.05969528877840624,0.04587185012180031,-0.016132056713104248,-0.006230688095092774,-0.012893149256706237,,,-0.00401422381401062,0.015533448974019847,-0.004072909125409555,-0.013226191202799479,-0.0023885825101067036,0.005487343116447498,0.005508608054804931,2.126493835743363e-05
2020-01-30,20,0.05,0.1,18,238.4,495.0,-2.220446049250313e-16,0.05418429994722387,0.05715320454830735,0.04557192089394292,0.012202143669128418,-0.00526052713394165,-0.010742074251174927,,,-0.006288406252861023,-0.010836817548261024,-0.006505230904135871,-0.027634263038635254,-0.003916644387774997,0.000665558765277997,0.0006870395882194206,2.1480822941423588e-05
2020-01-31,20,0.15,0.15,17,208.65,473.0,-2.220446049250313e-16,0.047551513896564514,0.05739299564655332,0.04457290196413854,0.01789402961730957,0.00537140965461731,0.00613439679145813,,,0.007128918170928955,-0.040391896734945476,0.007338968261305924,0.01794866720835368,0.0052195506937363564,-0.003510713155693951,-0.0034911409284941394,1.9572227199811887e-05
2020-02-03,20,0.05,0.25,15,253.0,476.0,0.0,0.04217179058003483,0.057716165308713825,0.04557170593972942,0.012953400611877441,0.008958378434181213,0.00970105528831482,,,0.006388440728187561,-0.006174901913618669,0.0062365720734678925,0.019811677932739257,0.0019140283266703287,-0.005235502360825725,-0.005215285146297594,2.0217214528130747e-05
2020-02-04,20,0.2,0.15,17,219.65,440.0,0.0,0.050818233341798164,0.05741275443589944,0.04506130638161346,-0.0005480647087097168,1.6885995864868165e-05,-0.001001831889152527,,,-0.0048299461603164675,0.029380062175914646,-0.005063509368558752,-0.005508323510487874,-0.004710232510286219,0.010029973524559255,0.010049671241394671,1.9697716835417083e-05
2020-02-05,20,0.1,0.3,14,208.05,505.0,2.220446049250313e-16,0.05310895427735761,0.05669111474706545,0.04514089269137724,0.00018274784088134766,-0.010739046335220336,-0.02135036587715149,,,-0.01632782816886902,0.021620349097065627,-0.01654371409383412,-0.023111512263615925,-0.013420534985406058,0.008203771279822174,0.008223446341053958,1.9675061231783733e-05
2020-02-06,20,0.15,0.2,16,213.05,503.0,-2.220446049250313e-16,0.04438703852762653,0.05703951890917503,0.04579076396840182,0.004934191703796387,-0.0012714117765426636,-0.001241922378540039,,,0.002898377180099487,-0.005911985819693655,0.0030429003489097998,0.005106151103973389,0.002346433699131012,-0.005695482679002568,-0.005674460262882655,2.1022416119912382e-05
2020-02-07,20,0.15,0.25,15,176.35,486.0,0.0,0.04582967064891222,0.057168706698489315,0.045143395972045024,0.002909541130065918,0.011121049523353577,0.006320962309837341,,,0.00613933801651001,-0.015541629251674748,0.005963544731386819,0.004671549797058106,0.006628600756327311,-0.0147429649928673,-0.014723259479426432,1.970551344086771e-05
2020-02-10,20,0.1,0.25,15,204.95,458.0,1.1102230246251565e-16,0.04285350247513085,0.05690111157535358,0.045506873214207065,0.010516762733459473,0.0025205552577972413,-0.0053483545780181885,,,-0.010540136694908142,-0.0018357719440246002,-0.010387056806967169,-0.01053076982498169,-0.010543258984883626,0.00428600333105886,0.004305881266109708,1.9877935050847975e-05
2020-02-11,20,0.0,0.2,16,226.5,480.0,0.0,0.04070984378537372,0.05629884470821165,0.04564547890595603,-0.00753629207611084,0.0021861910820007322,0.003968852758407593,,,0.004455268383026123,0.01782733016880229,0.004741498400974823,0.007097676396369934,0.0037946663796901703,0.00583240198843741,0.005852254084905844,1.985209646843421e-05
