datetime,portfolio_return_nd3,bench_nd3,cost_nd3,excess_return_nd3,turnover_nd3,portfolio_return_nd4,bench_nd4,cost_nd4,excess_return_nd4,turnover_nd4,excess_diff_nd4_minus_nd3,abs_diff,cum_contribution_pct_of_total
2020-11-09,0.05460574088312618,0.0007042885,0.0,0.05390145240046017,0.0,0.10839801177127854,0.0007042885,1.9884582770534742e-05,0.10767383870584199,0.19884582770534942,0.05377238630538182,0.05377238630538182,16.67226322271856
2020-03-17,0.02541843533319318,0.09691012,1.8181313723523692e-05,-0.071509865037232,0.18181313723523304,0.06203796624399095,0.09691012,4.146207490558081e-05,-0.03491361488761629,0.4146207490558103,0.03659625014961571,0.03659625014961571,28.019022356556373
2021-01-28,0.020668842003338277,-0.021262944,0.0,0.041931785747997705,0.0,-0.012052621536619772,-0.021262944,9.928091386919313e-06,0.009200394116652732,0.09928091386919588,-0.032731391631344975,0.032731391631344975,17.87057229848161
2020-03-20,-0.037359000388383835,0.012868881,2.1138234349744803e-05,-0.05024901984831952,0.21138234349745014,-0.006101711048487871,0.012868881,4.1269214400385826e-05,-0.019011861488474193,0.4126921440038542,0.031237158359845325,0.031237158359845325,27.55573158353571
2020-08-10,0.01463410346280803,-0.005250752,0.0,0.019884855435006517,0.0,0.042840081493720206,-0.005250752,1.8556453455689535e-05,0.048072277012463,0.1855645345568935,0.028187421577456483,0.028187421577456483,36.29531233117413
2020-04-02,0.0005827273428129436,0.022377372,1.8193375442702437e-05,-0.02181283782065466,0.1819337544270213,-0.023117477350592268,0.022377372,4.095441669977805e-05,-0.045535803555316945,0.40954416699778406,-0.023722965734662285,0.023722965734662285,28.93994731341897
2020-04-01,-0.05771666624722601,0.007862687,1.355942954657972e-05,-0.06559291278767347,0.13559429546579596,-0.08134190730051545,0.007862687,3.725872561065647e-05,-0.08924185313702698,0.3725872561065754,-0.02364894034935351,0.02364894034935351,21.607534052017368
2020-03-11,-0.053757553556413276,-0.07945657,1.7228878128337072e-05,0.025681785329740612,0.17228878128337444,-0.07360885566619373,-0.07945657,3.694409940399515e-05,0.005810767998684505,0.3694409940399557,-0.019871017331056107,0.019871017331056107,15.446475296597914
2020-11-06,-0.0032522417516891947,0.002470851,0.0,-0.005723092696208238,0.0,-0.02279664495554251,0.002470851,1.918145054887145e-05,-0.025286677350610427,0.19181450548871729,-0.019563584654402187,0.019563584654402187,9.380736813545209
2022-06-23,0.005407370926837095,0.016533852,0.0,-0.011126480696698061,0.0,-0.01402670268570264,0.016533852,0.0,-0.0305605543092378,0.0,-0.019434073612539737,0.019434073612539737,3.3551535538057604
2020-08-11,-0.0046174612901522,-0.012195051,0.0,0.007577589426247947,0.0,0.014333982107269922,-0.012195051,1.776704077733717e-05,0.026511265782892732,0.17767040777337398,0.018933676356644787,0.018933676356644787,9.225587389474146
2020-08-18,-0.0036726282255508344,0.022041082,0.0,-0.025713710607752984,0.0,-0.022344111006982866,0.022041082,1.9170571492319106e-05,-0.04440436396067733,0.19170571492318503,-0.018690653352924348,0.018690653352924348,3.4305034455548897
2020-03-24,0.1229967592253912,0.08259785,2.133155480262238e-05,0.04037757591735372,0.2133155480262185,0.14083516608250296,0.08259785,4.431617088760785e-05,0.05819299815838049,0.44316170887608225,0.017815422241026772,0.017815422241026772,8.954219788352665
2022-10-20,-0.013659954447476693,0.044494748,0.0,-0.05815470256301625,0.0,0.003949597868202558,0.044494748,0.0,-0.04054515024733699,0.0,0.017609552315679254,0.017609552315679254,14.414105644522184
2020-10-29,0.004824125940585027,0.007735133,0.0,-0.002911007230496516,0.0,0.022250254516298425,0.007735133,1.837502256464163e-05,0.01449674632265224,0.1837502256464023,0.017407753553148754,0.017407753553148754,19.811423288304397
2020-03-26,0.04387969690147126,0.0988245,2.003296508048508e-05,-0.05496483710120688,0.20032965080484913,0.061189758164864196,0.0988245,4.603090289872422e-05,-0.037680773775632184,0.46030902898724646,0.017284063325574694,0.017284063325574694,25.170390466840725
2020-11-24,0.02372019525698654,0.026569247,0.0,-0.002849051988802035,0.0,0.0410178470350091,0.026569247,1.920813270489628e-05,0.014429391656515632,0.19208132704895764,0.017278443645317665,0.017278443645317665,30.527615249420503
2020-11-11,-0.003625387632629412,0.009352326,0.0,-0.012977714025756853,0.0,-0.02018614725296483,0.009352326,1.933019467119639e-05,-0.02955780384076347,0.19330194671194562,-0.016580089815006617,0.016580089815006617,25.38691682323891
2020-03-19,0.051932643420997876,-0.046541154,1.9541845599788268e-05,0.09845425596001113,0.1954184559978842,0.06830732680218668,-0.046541154,4.059192191417751e-05,0.11480788926488554,0.40591921914177304,0.01635363330487441,0.01635363330487441,30.45740184055335
2020-04-15,-0.03975307800143372,-0.015555561,1.8729948299609685e-05,-0.02421624736089666,0.18729948299610086,-0.055441959419939076,-0.015555561,2.7630479415790332e-05,-0.0399140293105182,0.2763047941579052,-0.01569778194962154,0.01569778194962154,25.590265180658893
