datetime,side,instrument,label_return,excess_label,next_day_excess_label,abs_excess_label
2020-03-17,only_nd3,P13142,0.332446813583374,0.37898796796798706,-0.027838945388793945,0.37898796796798706
2020-03-17,only_nd3,P52038,0.18790006637573242,0.23444122076034546,-0.06083434820175171,0.23444122076034546
2020-03-17,only_nd3,P57817,0.07540488243103027,0.12194603681564331,-0.17239826917648315,0.12194603681564331
2020-03-17,only_nd3,P64282,0.097037672996521,0.14357882738113403,-0.10225433111190796,0.14357882738113403
2020-03-17,only_nd3,P79545,0.06487584114074707,0.11141699552536011,-0.03714311122894287,0.11141699552536011
2020-03-17,only_nd3,P84032,0.21487605571746826,0.2614172101020813,-0.022587060928344727,0.2614172101020813
2020-03-17,only_nd3,P89002,0.12251222133636475,0.16905337572097778,0.07263147830963135,0.16905337572097778
2020-03-17,only_nd4,P12345,0.06556570529937744,0.11210685968399048,-0.0413212776184082,0.11210685968399048
2020-03-17,only_nd4,P16431,0.08442568778991699,0.13096684217453003,-0.03704428672790527,0.13096684217453003
2020-03-17,only_nd4,P62148,0.079262375831604,0.12580353021621704,-0.10630649328231812,0.12580353021621704
2020-03-17,only_nd4,P77606,0.10198843479156494,0.14852958917617798,-0.09028446674346924,0.14852958917617798
2020-03-17,only_nd4,P77730,0.22702574729919434,0.2735669016838074,-0.02375251054763794,0.2735669016838074
2020-03-17,only_nd4,P85926,0.25356125831604004,0.3001024127006531,0.07894933223724365,0.3001024127006531
2020-03-20,only_nd3,P14541,0.22740685939788818,0.14480900764465332,0.08058720827102661,0.14480900764465332
2020-03-20,only_nd3,P57817,0.18898141384124756,0.1063835620880127,0.023552000522613525,0.1063835620880127
2020-03-20,only_nd4,P12369,0.19943177700042725,0.11683392524719238,0.05771666765213013,0.11683392524719238
2020-03-20,only_nd4,P25785,0.2344139814376831,0.15181612968444824,0.12860459089279175,0.15181612968444824
2020-04-02,only_nd3,P79545,0.16157817840576172,0.1192704439163208,0.011751413345336914,0.1192704439163208
2020-04-02,only_nd4,P19561,0.1947479248046875,0.15244019031524658,-0.034152090549468994,0.15244019031524658
2020-04-02,only_nd4,P46703,0.1501103639602661,0.1078026294708252,0.04008924961090088,0.1078026294708252
2020-04-02,only_nd4,P75154,0.2025911808013916,0.16028344631195068,0.12093567848205566,0.16028344631195068
2020-03-11,only_nd3,P12490,0.04999518394470215,-0.15427613258361816,0.026532411575317383,0.15427613258361816
2020-03-11,only_nd3,P25320,0.03355705738067627,-0.17071425914764404,0.10910594463348389,0.17071425914764404
2020-03-11,only_nd3,P28804,0.08181297779083252,-0.12245833873748779,-0.03411930799484253,0.12245833873748779
2020-03-11,only_nd3,P52038,0.08182024955749512,-0.1224510669708252,-0.08930283784866333,0.1224510669708252
2020-03-11,only_nd3,P64282,0.017676830291748047,-0.18659448623657227,-0.16859513521194458,0.18659448623657227
2020-03-11,only_nd3,P75607,0.011008143424987793,-0.19326317310333252,0.07374310493469238,0.19326317310333252
2020-03-11,only_nd3,P76226,0.016108989715576172,-0.18816232681274414,-0.061421751976013184,0.18816232681274414
2020-03-11,only_nd3,P79145,0.06805419921875,-0.1362171173095703,0.0347750186920166,0.1362171173095703
2020-03-11,only_nd3,P79545,0.04224205017089844,-0.16202926635742188,0.006985485553741455,0.16202926635742188
2020-03-11,only_nd4,P18428,0.08534014225006104,-0.11893117427825928,-0.03493553400039673,0.11893117427825928
2020-03-11,only_nd4,P21207,-0.11116111278533936,-0.31543242931365967,0.13983941078186035,0.31543242931365967
2020-03-11,only_nd4,P23536,0.08489751815795898,-0.11937379837036133,0.04090696573257446,0.11937379837036133
2020-03-11,only_nd4,P35554,0.10236608982086182,-0.1019052267074585,-0.008550405502319336,0.1019052267074585
2020-03-11,only_nd4,P65541,0.03924298286437988,-0.16502833366394043,8.96453857421875e-05,0.16502833366394043
2020-03-11,only_nd4,P76744,0.0823286771774292,-0.12194263935089111,0.013209819793701172,0.12194263935089111
2020-03-11,only_nd4,P77606,0.07735776901245117,-0.12691354751586914,-0.0962212085723877,0.12691354751586914
2020-03-24,only_nd3,P57817,-0.01807236671447754,-0.1168968677520752,-0.09420675039291382,0.1168968677520752
2020-03-24,only_nd4,P25785,-0.025973975658416748,-0.1247984766960144,0.0014477968215942383,0.1247984766960144
2020-03-24,only_nd4,P77730,-0.031017541885375977,-0.12984204292297363,-0.03023982048034668,0.12984204292297363
