datetime,rank_21_50_mean,rank_21_50_n,rank_1_20_mean,rank_51_100_mean
2020-03-12,-0.1552990972995758,30,-0.14930658042430878,-0.13429315388202667
2020-03-10,-0.15034359693527222,30,-0.15636226534843445,-0.10192301869392395
2020-03-16,-0.10227176547050476,30,-0.1010940670967102,-0.10331997275352478
2020-03-05,-0.09138035029172897,30,-0.14079128205776215,-0.09046425670385361
2020-03-09,-0.07441387325525284,30,-0.07948601245880127,-0.05543310567736626
2020-06-09,-0.07084386795759201,30,-0.10271266847848892,-0.05258101969957352
2022-06-09,-0.04949512705206871,30,-0.046758923679590225,-0.039996810257434845
2020-02-25,-0.042464811354875565,30,-0.04062597081065178,-0.04356340318918228
2022-03-03,-0.042204320430755615,30,-0.02551966905593872,-0.02873500995337963
2022-09-09,-0.04204991087317467,30,-0.03924693539738655,-0.033482763916254044
