datetime,mean_all,mean_trimmed,removed_n
2020-01-02,0.0020440281368792057,0.0018167296657338738,3
2020-01-03,-0.0003390073834452778,-0.0007670234772376716,3
2020-01-06,0.003450334072113037,0.0036299824714660645,5
2020-01-07,0.0028102477081120014,0.005597882904112339,3
2020-01-08,-0.001049004029482603,0.00019801579765044153,4
2020-01-09,0.007110242266207933,0.005500236991792917,6
2020-01-10,0.0027571083046495914,0.0026983427815139294,2
2020-01-13,-0.0012845714809373021,-0.0016336605185642838,1
2020-01-14,0.009990678168833256,0.010334384627640247,6
2020-01-15,0.002530117752030492,0.0021623463835567236,4
2020-01-16,-0.007090258412063122,-0.005864368751645088,3
2020-01-17,-0.0034281353000551462,-0.002334191231057048,4
2020-01-21,-0.002201809547841549,-0.001856645685620606,4
2020-01-22,-0.013736486434936523,-0.01193535327911377,6
2020-01-23,-0.017120681703090668,-0.017245301976799965,4
2020-01-24,0.012286555953323841,0.013488453812897205,3
2020-01-27,0.001618842245079577,-0.0012020064750686288,2
2020-01-28,0.0009734809282235801,0.0006217040936462581,2
2020-01-29,-0.022144827991724014,-0.022518370300531387,3
2020-01-30,0.0045641022734344006,0.005859615746885538,2
2020-01-31,0.017537007108330727,0.01758567802608013,3
2020-02-03,0.016054591163992882,0.01577450893819332,2
2020-02-04,-0.0006066362257115543,-0.0006575562874786556,2
2020-02-05,-0.009817278012633324,-0.010282427072525024,2
2020-02-06,0.0031426548957824707,0.0021457981783896685,5
2020-02-07,0.004060002043843269,0.0019734776578843594,4
2020-02-10,0.008206123486161232,0.00692141754552722,4
2020-02-11,-0.0016626894939690828,-0.0014394676545634866,3
2020-02-12,0.0020304343197494745,0.0018444698071107268,1
2020-02-13,-0.0018700043438002467,-0.0006803444703109562,2
2020-02-14,0.0036340851802378893,0.0029938388615846634,5
2020-02-18,-0.00022914608416613191,-0.0030528234783560038,5
2020-02-19,-0.011509520001709461,-0.0115818465128541,3
2020-02-20,-0.03730206936597824,-0.03720442205667496,2
2020-02-21,-0.03530355915427208,-0.03519859164953232,3
2020-02-24,-0.01311015710234642,-0.014944116584956646,6
2020-02-25,-0.042464811354875565,-0.04022003710269928,6
2020-02-26,-0.012631853111088276,-0.013034282252192497,2
2020-02-27,0.046330440789461136,0.04868457838892937,3
2020-02-28,-0.02660810947418213,-0.02578267827630043,2
2020-03-02,0.04483405128121376,0.044872548431158066,2
2020-03-03,-0.036155905574560165,-0.035332851111888885,3
2020-03-04,-0.015697484835982323,-0.013904444873332977,6
2020-03-05,-0.09138035029172897,-0.08644522726535797,9
2020-03-06,0.052211977541446686,0.054704535752534866,7
2020-03-09,-0.07441387325525284,-0.068324513733387,15
2020-03-10,-0.15034359693527222,-0.12029338628053665,19
2020-03-11,0.07796070724725723,0.08567354083061218,6
2020-03-12,-0.1552990972995758,-0.15334638953208923,17
2020-03-13,0.062283504754304886,0.07396066188812256,5
2020-03-16,-0.10227176547050476,-0.07942519336938858,11
2020-03-17,0.07244101911783218,0.058591607958078384,7
2020-03-18,-0.02984730340540409,-0.022806549444794655,6
2020-03-19,-0.02115917019546032,-0.032802313566207886,4
2020-03-20,0.10970214754343033,0.11490540951490402,3
2020-03-23,0.029459254816174507,0.027546724304556847,3
2020-03-24,0.05350378528237343,0.05637824162840843,2
2020-03-25,-0.03584810718894005,-0.02709026262164116,5
2020-03-26,0.005662200972437859,0.013922208920121193,8
2020-03-27,-0.026370791718363762,-0.02389693632721901,2
2020-03-30,-0.038524825125932693,-0.037080034613609314,1
2020-03-31,0.021591275930404663,0.021591275930404663,0
2020-04-01,-0.010145151987671852,-0.012329812161624432,5
2020-04-02,0.12408512085676193,0.12163769453763962,7
2020-04-03,0.03945447877049446,0.03844544664025307,2
2020-04-06,0.030147574841976166,0.030147574841976166,0
2020-04-07,0.0253326203674078,0.023678354918956757,1
2020-04-08,-0.017005668953061104,-0.015320113860070705,2
2020-04-09,0.030493997037410736,0.0324411541223526,2
2020-04-13,-0.033224500715732574,-0.033224500715732574,0
2020-04-14,0.009027933701872826,0.009782511740922928,1
2020-04-15,0.0421333871781826,0.040986549109220505,2
2020-04-16,-0.026616720482707024,-0.0258694626390934,5
2020-04-17,-0.027666980400681496,-0.027419917285442352,4
2020-04-20,0.02071681059896946,0.017743468284606934,2
2020-04-21,-0.000378769647795707,-0.0009331107139587402,1
2020-04-22,0.01676376722753048,0.01672959327697754,3
2020-04-23,0.034022264182567596,0.03595093637704849,1
2020-04-24,0.009478428401052952,0.009859302081167698,2
2020-04-27,0.0306718610227108,0.0328858345746994,4
2020-04-28,-0.01228253822773695,-0.010066871531307697,4
2020-04-29,-0.024636277928948402,-0.02396450750529766,1
2020-04-30,0.0020291705150157213,0.0020291705150157213,0
2020-05-01,0.011354507878422737,0.01376777421683073,2
2020-05-04,-0.012698326259851456,-0.012291040271520615,3
2020-05-05,0.0162536408752203,0.015430227853357792,4
2020-05-06,0.03249316290020943,0.03040027990937233,3
2020-05-07,-0.0076476591639220715,-0.0044154212810099125,5
2020-05-08,-0.020352521911263466,-0.01569419540464878,5
2020-05-11,-0.034493084996938705,-0.03443358466029167,1
2020-05-12,0.0193569827824831,0.01871269755065441,5
2020-05-13,0.00016516049799975008,-0.000738954113330692,3
2020-05-14,0.06571153551340103,0.052988458424806595,6
2020-05-15,-0.011474587954580784,-0.011529386043548584,1
2020-05-18,0.018519768491387367,0.02049284428358078,4
2020-05-19,-0.004649736452847719,-0.00374777615070343,2
2020-05-20,0.003546889638528228,0.004033869598060846,1
2020-05-21,0.022206982597708702,0.021727021783590317,2
2020-05-22,0.026767993345856667,0.025156304240226746,1
2020-05-26,-0.025275271385908127,-0.021919768303632736,8
2020-05-27,-0.009480730630457401,-0.00893471296876669,4
2020-05-28,0.016362477093935013,0.012731588445603848,4
2020-05-29,0.008912191726267338,0.00917937234044075,1
2020-06-01,0.02047041617333889,0.013659464195370674,3
2020-06-02,-0.002769740531221032,-0.002769740531221032,0
2020-06-03,0.022869054228067398,0.02104439027607441,2
2020-06-04,0.01914851740002632,0.01850387081503868,1
2020-06-05,-0.008531540632247925,-0.008531540632247925,0
2020-06-08,-0.001571222092024982,0.00031046144431456923,2
2020-06-09,-0.07084386795759201,-0.06343267112970352,8
2020-06-10,0.015816612169146538,0.012194504961371422,4
2020-06-11,0.003961960319429636,0.002472753869369626,3
2020-06-12,0.01728876493871212,0.017154265195131302,1
2020-06-15,-0.00691583938896656,-0.006798309739679098,2
2020-06-16,-0.0028864562045782804,-0.002764401724562049,3
2020-06-17,-0.017132272943854332,-0.017027845606207848,3
2020-06-18,0.004061074927449226,0.005126806441694498,4
2020-06-19,0.0038201669231057167,0.004068960435688496,1
2020-06-22,-0.03880048543214798,-0.03880048543214798,0
2020-06-23,0.011384113691747189,0.010895212180912495,3
2020-06-24,-0.019218066707253456,-0.018711252138018608,4
2020-06-25,0.020382089540362358,0.01780378818511963,2
2020-06-26,0.011657658964395523,0.011096247471868992,3
2020-06-29,-0.0015435159439221025,-0.001005257829092443,2
2020-06-30,0.005466969683766365,0.005663893651217222,3
2020-07-01,0.010205511003732681,0.010095748119056225,1
2020-07-02,-0.01735481433570385,-0.017052054405212402,3
2020-07-06,-3.515879143378697e-05,-0.00039152029785327613,1
2020-07-07,-0.015372117049992085,-0.011464007198810577,5
2020-07-08,0.01882610097527504,0.015471999533474445,3
2020-07-09,0.008496650494635105,0.009252076037228107,4
2020-07-10,0.016713649034500122,0.01636357791721821,1
2020-07-13,0.01288218330591917,0.012072672136127949,2
2020-07-14,0.0005861600511707366,0.0014010185841470957,4
2020-07-15,0.003939334768801928,0.004031841643154621,4
2020-07-16,-0.006615296937525272,-0.004990732297301292,3
2020-07-17,0.014010119251906872,0.009910370223224163,6
2020-07-20,0.004306336399167776,0.005677408538758755,3
2020-07-21,0.0007168253068812191,0.0028994609601795673,4
2020-07-22,-0.00818648561835289,-0.008071492426097393,2
2020-07-23,0.0018508791690692306,0.0029100715182721615,1
2020-07-24,-0.0084625743329525,-0.00851508043706417,1
2020-07-27,0.01657501421868801,0.015782533213496208,1
2020-07-28,-0.01614820957183838,-0.014584600925445557,3
2020-07-29,-0.0020456770434975624,-0.003555725794285536,2
2020-07-30,0.0014998455299064517,0.00029704527696594596,3
2020-07-31,0.011345812119543552,0.010883377864956856,2
2020-08-03,0.010612591169774532,0.010667315684258938,1
2020-08-04,0.004949929192662239,0.0048349942080676556,3
2020-08-05,0.009893587790429592,0.007019581738859415,3
2020-08-06,0.015686076134443283,0.013506785966455936,3
2020-08-07,0.00030403732671402395,0.00030403732671402395,0
2020-08-10,0.00040479301242157817,0.0008052167831920087,3
2020-08-11,-0.009837152436375618,-0.008819750510156155,1
2020-08-12,0.008477547205984592,0.008160759694874287,2
2020-08-13,-0.011056924238801003,-0.01118888147175312,2
2020-08-14,-0.0076997061260044575,-0.007223178166896105,2
2020-08-17,-0.005418481305241585,-0.005242890678346157,3
2020-08-18,-0.009341269731521606,-0.008415115997195244,3
2020-08-19,-0.0017587085021659732,-0.0014799705240875483,2
2020-08-20,0.016744224354624748,0.015181741677224636,2
2020-08-21,0.0006501515745185316,0.0011989942286163568,2
2020-08-24,-0.010359385050833225,-0.00997022446244955,4
2020-08-25,0.011396990157663822,0.01322324387729168,2
2020-08-26,0.012394270859658718,0.01212987583130598,1
2020-08-27,-0.013740881346166134,-0.012670868076384068,4
2020-08-28,-0.0016266246093437076,-0.0009528464870527387,3
2020-08-31,0.020247213542461395,0.02261100709438324,6
2020-09-01,-0.016024747863411903,-0.016225222498178482,3
2020-09-02,-0.004847431089729071,-0.003739752108231187,3
2020-09-03,-0.021738510578870773,-0.021302100270986557,2
2020-09-04,0.014105272479355335,0.012900893576443195,2
2020-09-08,-0.01773354969918728,-0.01731954887509346,3
2020-09-09,0.0038731456734240055,0.00186118483543396,2
2020-09-10,0.009929933585226536,0.008450355380773544,3
2020-09-11,0.00573860015720129,0.00573860015720129,0
2020-09-14,0.004086866043508053,0.004225862678140402,2
2020-09-15,0.0011305331718176603,0.00011707416706485674,2
2020-09-16,-0.011491130106151104,-0.010572822764515877,4
2020-09-17,-0.024173976853489876,-0.02168990857899189,3
2020-09-18,0.004481591749936342,0.003937195520848036,2
2020-09-21,-0.027598977088928223,-0.030081937089562416,6
2020-09-22,0.00017890334129333496,-0.00016189726011361927,3
2020-09-23,0.006377190351486206,0.0058954679407179356,2
2020-09-24,0.02480475977063179,0.025623725727200508,4
2020-09-25,-0.006659529637545347,-0.007725507020950317,4
2020-09-28,0.004652075003832579,0.0043069166131317616,2
2020-09-29,0.005267385859042406,0.0033099609427154064,2
2020-09-30,0.005051280837506056,0.0036002504639327526,2
2020-10-01,0.020750252529978752,0.020535435527563095,2
2020-10-02,-0.01124159712344408,-0.011483392678201199,2
2020-10-05,0.017779596149921417,0.016696138307452202,2
2020-10-06,0.0134978536516428,0.01343308575451374,2
2020-10-07,0.0002997855481225997,-0.00019173169857822359,1
2020-10-08,0.009568980894982815,0.011483938433229923,3
2020-10-09,-0.011200531385838985,-0.011914195492863655,2
2020-10-12,-0.0037904183845967054,-0.003516744589433074,3
2020-10-13,0.008579651825129986,0.00832589715719223,1
2020-10-14,-0.0028582573868334293,-0.0031245700083673,1
2020-10-15,-0.013020697981119156,-0.012793121859431267,2
2020-10-16,0.007671813014894724,0.007671813014894724,0
2020-10-19,-0.0021563449408859015,-0.0015337878139689565,1
2020-10-20,0.017830461263656616,0.016825968399643898,2
2020-10-21,0.005752468015998602,0.004878475330770016,4
2020-10-22,-0.020749561488628387,-0.018801437690854073,3
2020-10-23,-0.01514474581927061,-0.014520248398184776,4
2020-10-26,-0.03355998918414116,-0.03355998918414116,0
2020-10-27,0.010557206347584724,0.010460352525115013,1
2020-10-28,-0.000140136486152187,0.000918100995477289,2
2020-10-29,0.02186226285994053,0.02118404023349285,3
2020-10-30,0.022459637373685837,0.021576987579464912,2
2020-11-02,0.008586732670664787,0.007590186782181263,1
2020-11-03,0.014154274947941303,0.01286703534424305,1
2020-11-04,-0.00728418817743659,-0.005948362406343222,4
2020-11-05,0.04872168228030205,0.04427720233798027,2
2020-11-06,0.007499325089156628,0.007220264058560133,1
2020-11-09,-0.019486231729388237,-0.017562121152877808,4
2020-11-10,-0.024031639099121094,-0.02273017168045044,3
2020-11-11,0.040937457233667374,0.03938932344317436,5
2020-11-12,0.02199999801814556,0.01930604688823223,2
2020-11-13,-0.004041558597236872,-0.00411754148080945,5
2020-11-16,-0.008928078226745129,-0.008261912502348423,3
2020-11-17,0.002016989281401038,0.0009287733118981123,4
2020-11-18,-0.004247124772518873,-0.005039174575358629,2
2020-11-19,0.002633460331708193,0.0019426139770075679,1
2020-11-20,0.01818746328353882,0.013452445156872272,2
2020-11-23,-0.00848062988370657,-0.008524148724973202,1
2020-11-24,0.0012787481537088752,0.00125547731295228,1
2020-11-25,-0.0034162779338657856,-0.0034162779338657856,0
2020-11-27,0.0035074809566140175,0.0036939813289791346,1
2020-11-30,0.007676595356315374,0.007622820325195789,3
2020-12-01,-0.0011336783645674586,-0.0011336783645674586,0
2020-12-02,0.010955468751490116,0.010377073660492897,1
2020-12-03,-0.0015635649906471372,-0.00027012612554244697,2
2020-12-04,-0.0007973750471137464,0.0002701017656363547,3
2020-12-07,-0.0021429758053272963,-0.0018030775245279074,1
2020-12-08,-0.00544026680290699,-0.005921822506934404,4
2020-12-09,0.0002684136270545423,-0.00039245549123734236,1
2020-12-10,-0.009267568588256836,-0.00997329130768776,1
2020-12-11,0.01619119383394718,0.01619119383394718,0
2020-12-14,-0.0046532172709703445,-0.0042036958038806915,1
2020-12-15,0.008913298137485981,0.00968767050653696,3
2020-12-16,-0.004866667557507753,-0.005566543899476528,3
2020-12-17,-0.0029955944046378136,-0.003573495661839843,1
2020-12-18,-0.007029332686215639,-0.0071027809754014015,2
2020-12-21,0.0012836953392252326,0.00046056098653934896,1
2020-12-22,0.0031753242947161198,0.0031753242947161198,0
2020-12-23,0.00138888752553612,0.00030807513394393027,2
2020-12-24,-0.005742438603192568,-0.0053924014791846275,1
2020-12-28,0.005617775488644838,0.005656618624925613,1
2020-12-29,0.0028449376113712788,0.002390363486483693,2
2020-12-30,-0.015121628530323505,-0.014120851643383503,4
2020-12-31,0.013754953630268574,0.01247316412627697,2
2021-01-04,0.028219569474458694,0.028219569474458694,0
2021-01-05,0.010755004361271858,0.008769121021032333,3
2021-01-06,-0.004797174595296383,-0.005262694787234068,3
2021-01-07,0.0022074321750551462,0.0011341263307258487,1
2021-01-08,0.00799649115651846,0.006492475047707558,1
2021-01-11,-0.002913818694651127,-0.002913818694651127,0
2021-01-12,0.002417492913082242,0.0015681555960327387,2
2021-01-13,-0.008334114216268063,-0.008334114216268063,0
2021-01-14,-0.0006946205976419151,-0.0011595828691497445,2
2021-01-15,0.007635239977389574,0.008431405760347843,3
2021-01-19,-0.0036366682033985853,-0.004245778080075979,3
2021-01-20,-0.0033932726364582777,-0.0030819412786513567,2
2021-01-21,0.0008755206945352256,0.0032457709312438965,4
2021-01-22,-0.004250864032655954,-0.003485150169581175,4
2021-01-25,-0.022347915917634964,-0.020747952163219452,3
2021-01-26,0.01867278665304184,0.017542056739330292,5
2021-01-27,-0.021121852099895477,-0.021121852099895477,0
2021-01-28,0.008455171249806881,0.008865506388247013,3
2021-01-29,0.013232401572167873,0.013020445592701435,2
2021-02-01,0.008721021935343742,0.006744244135916233,2
2021-02-02,0.020333856344223022,0.020049409940838814,3
2021-02-03,0.00174305634573102,0.002944737672805786,4
2021-02-04,0.010966523550450802,0.010530799627304077,2
2021-02-05,-0.005133060738444328,-0.0046014487743377686,2
2021-02-08,0.00447999220341444,0.003407230833545327,4
2021-02-09,-0.0027684688102453947,-0.002601568354293704,3
2021-02-10,0.006415834184736013,0.006546176504343748,4
