segment,excess_annualized_return,excess_daily_mean,excess_daily_std,n_days
rank_1_20,-0.030860110979669453,-0.00012246075785583117,0.02116241542571376,1006
rank_21_50,-0.08210682934678004,-0.0003258207513761113,0.01853574001706706,1006
rank_51_100,-0.0962798200534691,-0.00038206277798995676,0.017671934688073068,1006
