datetime,instrument,rank,score,label,segment_mean_that_day
2020-03-10,P79145,24,0.03791131961975473,-0.3177822232246399,-0.15034359693527222
2020-03-16,P25232,46,0.03791131961975473,-0.28478366136550903,-0.10227177292108536
2020-03-12,P89002,21,0.03791131961975473,-0.2706524133682251,-0.1552990972995758
2020-03-10,P12872,42,0.03791131961975473,-0.2700892686843872,-0.15034359693527222
2020-03-16,P89002,28,0.03791131961975473,-0.2675737142562866,-0.10227177292108536
2020-03-12,P81655,33,0.03791131961975473,-0.24663203954696655,-0.1552990972995758
2020-03-12,P19561,46,0.03791131961975473,-0.23848414421081543,-0.1552990972995758
2020-03-16,P80100,45,0.03791131961975473,-0.23683321475982666,-0.10227177292108536
2020-03-12,P79637,29,0.03791131961975473,-0.22257113456726074,-0.1552990972995758
2020-03-16,P82775,43,0.03791131961975473,-0.21194839477539062,-0.10227177292108536
2020-03-10,P25232,23,0.03791131961975473,-0.20812463760375977,-0.15034359693527222
2020-03-12,P59459,50,0.03791131961975473,-0.20800375938415527,-0.1552990972995758
2020-03-12,P77606,26,0.03791131961975473,-0.20492136478424072,-0.1552990972995758
2020-03-12,P66384,25,0.03791131961975473,-0.2044476866722107,-0.1552990972995758
2020-03-12,P78987,32,0.03791131961975473,-0.20294415950775146,-0.1552990972995758
2020-03-10,P32707,27,0.03791131961975473,-0.20239877700805664,-0.15034359693527222
2020-03-12,P77661,35,0.03791131961975473,-0.20229005813598633,-0.1552990972995758
2020-03-12,P85265,45,0.03791131961975473,-0.2017596960067749,-0.1552990972995758
2020-03-12,P77129,44,0.03791131961975473,-0.19818460941314697,-0.1552990972995758
2020-03-12,P21792,40,0.03791131961975473,-0.1974276304244995,-0.1552990972995758
2020-03-10,P77606,29,0.03791131961975473,-0.19121265411376953,-0.15034359693527222
2020-03-12,P13936,22,0.03791131961975473,-0.1905045509338379,-0.1552990972995758
2020-03-16,P27983,41,0.03791131961975473,-0.1880081295967102,-0.10227177292108536
2020-03-10,P89002,39,0.03791131961975473,-0.18261170387268066,-0.15034359693527222
2020-03-10,P40125,36,0.03791131961975473,-0.18259286880493164,-0.15034359693527222
2020-03-10,P19561,34,0.03791131961975473,-0.1810874342918396,-0.15034359693527222
2020-03-16,P81774,38,0.03791131961975473,-0.1805555820465088,-0.10227177292108536
2020-03-10,P23819,25,0.03791131961975473,-0.18007659912109375,-0.15034359693527222
2020-03-16,P15202,27,0.03791131961975473,-0.17614805698394775,-0.10227177292108536
2020-03-05,P34746,38,0.006877983003645413,-0.17567569017410278,-0.09138036519289017
