datetime,bench,rank_1_20_excess_mean,rank_1_20_raw_mean,rank_1_20_n,rank_21_50_excess_mean,rank_21_50_raw_mean,rank_21_50_n,rank_51_100_excess_mean,rank_51_100_raw_mean,rank_51_100_n
2020-01-02,0.005208373069763184,-0.0034359812270849943,0.0017723918426781893,20,-0.003164344932883978,0.0020440281368792057,30,-0.004079762846231461,0.0011286103399470448,50
2020-01-03,0.002220630645751953,-0.006236517336219549,-0.004015886690467596,20,-0.0025596381165087223,-0.0003390073834452778,30,0.0035537767689675093,0.005774407181888819,50
2020-01-06,-0.0005539059638977051,0.003575465176254511,0.003021559212356806,20,0.004004240036010742,0.003450334072113037,30,0.005025907885283232,0.004472001921385527,50
2020-01-07,0.004618525505065918,-0.00020418762869667262,0.004414337687194347,20,-0.0018082777969539165,0.0028102477081120014,30,-0.00021405577717814595,0.004404469858855009,50
2020-01-08,0.001287221908569336,-0.0010400175815448165,0.000247204297920689,20,-0.002336225938051939,-0.001049004029482603,30,-0.0031680965330451727,-0.0018808746244758368,50
2020-01-09,0.002387404441833496,-0.002315619494765997,7.178485248005018e-05,20,0.004722837824374437,0.007110242266207933,30,0.006859334651380777,0.00924673955887556,50
2020-01-10,0.005496501922607422,-0.0016111284494400024,0.0038853734731674194,20,-0.0027393936179578304,0.0027571083046495914,30,-0.0019153929315507412,0.0035811089910566807,50
2020-01-13,-0.0021865367889404297,0.004037344362586737,0.0018508076900616288,20,0.0009019653080031276,-0.0012845714809373021,30,0.00443410174921155,0.0022475647274404764,50
2020-01-14,0.012235164642333984,-0.00563774723559618,0.006597417406737804,20,-0.0022444864735007286,0.009990678168833256,30,-0.0021989799570292234,0.010036184452474117,50
2020-01-15,-0.0054122209548950195,0.005333825945854187,-7.839500904083252e-05,20,0.007942338474094868,0.002530117752030492,30,0.0061990260146558285,0.0007868051761761308,50
2020-01-16,0.0016325712203979492,-0.004334497265517712,-0.002701926277950406,20,-0.008722829632461071,-0.007090258412063122,30,-0.005545241758227348,-0.003912670537829399,50
2020-01-17,-0.00905466079711914,0.002466481877490878,-0.006588178686797619,20,0.005626525264233351,-0.0034281353000551462,30,0.007315695285797119,-0.0017389655113220215,50
2020-01-21,0.004751443862915039,-0.0052598328329622746,-0.0005083888536319137,20,-0.006953253410756588,-0.002201809547841549,30,-0.0026768697425723076,0.0020745741203427315,50
2020-01-22,-0.016551494598388672,-0.001810166286304593,-0.018361661583185196,20,0.0028150081634521484,-0.013736486434936523,30,0.005894816946238279,-0.010656677186489105,50
2020-01-23,-0.025522470474243164,0.0024675875902175903,-0.023054882884025574,20,0.008401789702475071,-0.017120681703090668,30,0.009946741163730621,-0.015575729310512543,50
2020-01-24,0.014613747596740723,-0.009681197814643383,0.00493254978209734,20,-0.002327191876247525,0.012286555953323841,30,-0.003729267045855522,0.0108844805508852,50
2020-01-27,-0.004863440990447998,0.004560613539069891,-0.0003028273640666157,20,0.006482283119112253,0.001618842245079577,30,-0.0029149127658456564,-0.007778353523463011,50
2020-01-28,0.0020676851272583008,-0.0019481986528262496,0.00011948645260417834,20,-0.0010942041408270597,0.0009734809282235801,30,-0.0003745722642634064,0.0016931128920987248,50
2020-01-29,-0.016132056713104248,-0.006230688188225031,-0.02236274443566799,20,-0.0060127717442810535,-0.022144827991724014,30,-0.0035459387581795454,-0.019677994772791862,50
2020-01-30,0.012202143669128418,-0.00526052713394165,0.006941616535186768,20,-0.007638041395694017,0.0045641022734344006,30,-0.005220478866249323,0.006981664802879095,50
2020-01-31,0.01789402961730957,0.005371409468352795,0.02326544001698494,20,-0.0003570218977984041,0.017537007108330727,30,-0.001473640208132565,0.016420388594269753,50
2020-02-03,0.012953400611877441,0.008958378806710243,0.021911779418587685,20,0.0031011898536235094,0.016054591163992882,30,0.000711370725184679,0.013664770871400833,50
