datetime,instrument,rank,score,label,segment_mean_that_day
2020-03-12,P89002,21,0.03791131961975473,-0.2706524133682251,-0.1552990972995758
2020-03-12,P81655,33,0.03791131961975473,-0.24663203954696655,-0.1552990972995758
2020-03-12,P19561,46,0.03791131961975473,-0.23848414421081543,-0.1552990972995758
2020-03-12,P79637,29,0.03791131961975473,-0.22257113456726074,-0.1552990972995758
2020-03-12,P59459,50,0.03791131961975473,-0.20800375938415527,-0.1552990972995758
2020-03-12,P77606,26,0.03791131961975473,-0.20492136478424072,-0.1552990972995758
2020-03-12,P66384,25,0.03791131961975473,-0.2044476866722107,-0.1552990972995758
2020-03-12,P78987,32,0.03791131961975473,-0.20294415950775146,-0.1552990972995758
2020-03-12,P77661,35,0.03791131961975473,-0.20229005813598633,-0.1552990972995758
2020-03-12,P85265,45,0.03791131961975473,-0.2017596960067749,-0.1552990972995758
2020-03-12,P77129,44,0.03791131961975473,-0.19818460941314697,-0.1552990972995758
2020-03-12,P21792,40,0.03791131961975473,-0.1974276304244995,-0.1552990972995758
2020-03-12,P13936,22,0.03791131961975473,-0.1905045509338379,-0.1552990972995758
2020-03-12,P77462,36,0.03791131961975473,-0.16438359022140503,-0.1552990972995758
2020-03-12,P46703,47,0.03791131961975473,-0.15687990188598633,-0.1552990972995758
2020-03-12,P85072,43,0.03791131961975473,-0.14425718784332275,-0.1552990972995758
2020-03-12,P82303,34,0.03791131961975473,-0.14303815364837646,-0.1552990972995758
2020-03-12,P19350,37,0.03791131961975473,-0.13608229160308838,-0.1552990972995758
2020-03-12,P80080,48,0.03791131961975473,-0.13603973388671875,-0.1552990972995758
2020-03-12,P80204,28,0.03791131961975473,-0.13548552989959717,-0.1552990972995758
2020-03-12,P24942,27,0.03791131961975473,-0.13526850938796997,-0.1552990972995758
2020-03-12,P90829,49,0.03791131961975473,-0.13294804096221924,-0.1552990972995758
2020-03-12,P30940,38,0.03791131961975473,-0.12519443035125732,-0.1552990972995758
2020-03-12,P84129,39,0.03791131961975473,-0.09721273183822632,-0.1552990972995758
2020-03-12,P79323,30,0.03791131961975473,-0.08397114276885986,-0.1552990972995758
2020-03-12,P79145,31,0.03791131961975473,-0.07392513751983643,-0.1552990972995758
2020-03-12,P32803,41,0.03791131961975473,-0.06398940086364746,-0.1552990972995758
2020-03-12,P85631,24,0.03791131961975473,-0.06296265125274658,-0.1552990972995758
2020-03-12,P18542,23,0.03791131961975473,-0.06252509355545044,-0.1552990972995758
2020-03-12,P77182,42,0.03791131961975473,-0.015986204147338867,-0.1552990972995758
2020-03-10,P79145,24,0.03791131961975473,-0.3177822232246399,-0.15034359693527222
2020-03-10,P12872,42,0.03791131961975473,-0.2700892686843872,-0.15034359693527222
2020-03-10,P25232,23,0.03791131961975473,-0.20812463760375977,-0.15034359693527222
2020-03-10,P32707,27,0.03791131961975473,-0.20239877700805664,-0.15034359693527222
2020-03-10,P77606,29,0.03791131961975473,-0.19121265411376953,-0.15034359693527222
2020-03-10,P89002,39,0.03791131961975473,-0.18261170387268066,-0.15034359693527222
2020-03-10,P40125,36,0.03791131961975473,-0.18259286880493164,-0.15034359693527222
2020-03-10,P19561,34,0.03791131961975473,-0.1810874342918396,-0.15034359693527222
2020-03-10,P23819,25,0.03791131961975473,-0.18007659912109375,-0.15034359693527222
2020-03-10,P57817,45,0.03791131961975473,-0.17270082235336304,-0.15034359693527222
2020-03-10,P84032,31,0.03791131961975473,-0.16984736919403076,-0.15034359693527222
2020-03-10,P75825,21,0.03791131961975473,-0.16366440057754517,-0.15034359693527222
2020-03-10,P21792,33,0.03791131961975473,-0.15798419713974,-0.15034359693527222
2020-03-10,P18428,22,0.03791131961975473,-0.15434080362319946,-0.15034359693527222
2020-03-10,P61815,46,0.03791131961975473,-0.15270274877548218,-0.15034359693527222
2020-03-10,P90808,38,0.03791131961975473,-0.1516890525817871,-0.15034359693527222
2020-03-10,P90979,44,0.03791131961975473,-0.14850616455078125,-0.15034359693527222
2020-03-10,P12345,49,0.03791131961975473,-0.14685183763504028,-0.15034359693527222
2020-03-10,P92239,48,0.03791131961975473,-0.1465889811515808,-0.15034359693527222
2020-03-10,P52978,43,0.03791131961975473,-0.14591944217681885,-0.15034359693527222
2020-03-10,P62308,41,0.03791131961975473,-0.13070738315582275,-0.15034359693527222
2020-03-10,P32803,28,0.03791131961975473,-0.12115734815597534,-0.15034359693527222
2020-03-10,P11850,47,0.03791131961975473,-0.11434018611907959,-0.15034359693527222
2020-03-10,P80080,40,0.03791131961975473,-0.1073458194732666,-0.15034359693527222
2020-03-10,P30940,26,0.03791131961975473,-0.10094970464706421,-0.15034359693527222
2020-03-10,P34746,30,0.03791131961975473,-0.09966021776199341,-0.15034359693527222
2020-03-10,P18542,37,0.03791131961975473,-0.08372229337692261,-0.15034359693527222
2020-03-10,P76744,50,0.014722054656765243,-0.07388579845428467,-0.15034359693527222
2020-03-10,P39490,35,0.03791131961975473,-0.05939394235610962,-0.15034359693527222
2020-03-10,P34833,32,0.03791131961975473,0.007627129554748535,-0.15034359693527222
2020-03-16,P25232,46,0.03791131961975473,-0.28478366136550903,-0.10227177292108536
2020-03-16,P89002,28,0.03791131961975473,-0.2675737142562866,-0.10227177292108536
2020-03-16,P80100,45,0.03791131961975473,-0.23683321475982666,-0.10227177292108536
2020-03-16,P82775,43,0.03791131961975473,-0.21194839477539062,-0.10227177292108536
2020-03-16,P27983,41,0.03791131961975473,-0.1880081295967102,-0.10227177292108536
2020-03-16,P81774,38,0.03791131961975473,-0.1805555820465088,-0.10227177292108536
2020-03-16,P15202,27,0.03791131961975473,-0.17614805698394775,-0.10227177292108536
2020-03-16,P35044,42,0.03791131961975473,-0.1711711287498474,-0.10227177292108536
2020-03-16,P54148,34,0.03791131961975473,-0.15721088647842407,-0.10227177292108536
2020-03-16,P16431,21,0.03791131961975473,-0.15283262729644775,-0.10227177292108536
2020-03-16,P81481,37,0.03791131961975473,-0.14231526851654053,-0.10227177292108536
2020-03-16,P24942,48,0.03791131961975473,-0.1267157793045044,-0.10227177292108536
2020-03-16,P85926,35,0.03791131961975473,-0.12206101417541504,-0.10227177292108536
2020-03-16,P28388,40,0.03791131961975473,-0.1200113296508789,-0.10227177292108536
2020-03-16,P52708,30,0.03791131961975473,-0.11581355333328247,-0.10227177292108536
2020-03-16,P24643,50,0.03791131961975473,-0.11161476373672485,-0.10227177292108536
2020-03-16,P30940,36,0.03791131961975473,-0.09612816572189331,-0.10227177292108536
2020-03-16,P88446,22,0.03791131961975473,-0.07335227727890015,-0.10227177292108536
2020-03-16,P76095,29,0.03791131961975473,-0.05878615379333496,-0.10227177292108536
2020-03-16,P82303,39,0.03791131961975473,-0.04706352949142456,-0.10227177292108536
2020-03-16,P15720,24,0.03791131961975473,-0.04517132043838501,-0.10227177292108536
2020-03-16,P76226,26,0.03791131961975473,-0.04160130023956299,-0.10227177292108536
2020-03-16,P38762,47,0.03791131961975473,-0.03947901725769043,-0.10227177292108536
2020-03-16,P44601,33,0.03791131961975473,-0.011714041233062744,-0.10227177292108536
2020-03-16,P52978,31,0.03791131961975473,0.0014972686767578125,-0.10227177292108536
2020-03-16,P79785,49,0.03791131961975473,0.006480216979980469,-0.10227177292108536
