datetime,rank_1_20_mean,rank_1_20_n,rank_21_50_mean,rank_21_50_n,rank_51_100_mean,rank_51_100_n
2020-01-02,0.0017723918426781893,20,0.0020440281368792057,30,0.0011286103399470448,50
2020-01-03,-0.004015886690467596,20,-0.0003390073834452778,30,0.005774407181888819,50
2020-01-06,0.003021559212356806,20,0.003450334072113037,30,0.004472001921385527,50
2020-01-07,0.004414337687194347,20,0.0028102477081120014,30,0.004404469858855009,50
2020-01-08,0.000247204297920689,20,-0.001049004029482603,30,-0.0018808746244758368,50
2020-01-09,7.178485248005018e-05,20,0.007110242266207933,30,0.00924673955887556,50
2020-01-10,0.0038853734731674194,20,0.0027571083046495914,30,0.0035811089910566807,50
2020-01-13,0.0018508076900616288,20,-0.0012845714809373021,30,0.0022475647274404764,50
2020-01-14,0.006597417406737804,20,0.009990678168833256,30,0.010036184452474117,50
2020-01-15,-7.839500904083252e-05,20,0.002530117752030492,30,0.0007868051761761308,50
2020-01-16,-0.002701926277950406,20,-0.007090258412063122,30,-0.003912670537829399,50
2020-01-17,-0.006588178686797619,20,-0.0034281353000551462,30,-0.0017389655113220215,50
2020-01-21,-0.0005083888536319137,20,-0.002201809547841549,30,0.0020745741203427315,50
2020-01-22,-0.018361661583185196,20,-0.013736486434936523,30,-0.010656677186489105,50
2020-01-23,-0.023054882884025574,20,-0.017120681703090668,30,-0.015575729310512543,50
2020-01-24,0.00493254978209734,20,0.012286555953323841,30,0.0108844805508852,50
2020-01-27,-0.0003028273640666157,20,0.001618842245079577,30,-0.007778353523463011,50
2020-01-28,0.00011948645260417834,20,0.0009734809282235801,30,0.0016931128920987248,50
2020-01-29,-0.02236274443566799,20,-0.022144827991724014,30,-0.019677994772791862,50
2020-01-30,0.006941616535186768,20,0.0045641022734344006,30,0.006981664802879095,50
2020-01-31,0.02326544001698494,20,0.017537007108330727,30,0.016420388594269753,50
2020-02-03,0.021911779418587685,20,0.016054591163992882,30,0.013664770871400833,50
2020-02-04,-0.0005311787244863808,20,-0.0006066362257115543,30,-0.0019742059521377087,50
2020-02-05,-0.010556298308074474,20,-0.009817278012633324,30,-0.009265763685107231,50
2020-02-06,0.003662779927253723,20,0.0031426548957824707,30,0.007711887359619141,50
2020-02-07,0.014030590653419495,20,0.004060002043843269,30,0.005815060343593359,50
2020-02-10,0.013037318363785744,20,0.008206123486161232,30,0.005287302657961845,50
2020-02-11,-0.0053501008078455925,20,-0.0016626894939690828,30,-0.004402905702590942,50
2020-02-12,-0.002718007657676935,20,0.0020304343197494745,30,-0.00047003626241348684,50
2020-02-13,-0.005780690815299749,20,-0.0018700043438002467,30,-0.005407006945461035,50
2020-02-14,0.005593547131866217,20,0.0036340851802378893,30,0.005185293965041637,50
2020-02-18,0.004301249980926514,20,-0.00022914608416613191,30,0.006654621567577124,50
2020-02-19,-0.011164155788719654,20,-0.011509520001709461,30,-0.006981487385928631,50
2020-02-20,-0.030513176694512367,20,-0.03730206936597824,30,-0.030115317553281784,50
2020-02-21,-0.04239610582590103,20,-0.03530355915427208,30,-0.03362555056810379,50
2020-02-24,-0.01036776602268219,20,-0.01311015710234642,30,-0.012113065458834171,50
2020-02-25,-0.04062597081065178,20,-0.042464811354875565,30,-0.04356340318918228,50
2020-02-26,0.0242861770093441,20,-0.012631853111088276,30,-0.020341239869594574,50
2020-02-27,0.01201562024652958,20,0.046330440789461136,30,0.04362090677022934,50
2020-02-28,-0.038293249905109406,20,-0.02660810947418213,30,-0.024033688008785248,50
2020-03-02,0.05175423622131348,20,0.04483405128121376,30,0.03377228602766991,50
2020-03-03,-0.05799832195043564,20,-0.036155905574560165,30,-0.03252677619457245,50
2020-03-04,-0.01754087768495083,20,-0.015697484835982323,30,-0.026556100696325302,50
2020-03-05,-0.14079128205776215,20,-0.09138035029172897,30,-0.09046425670385361,50
2020-03-06,0.06848657131195068,20,0.052211977541446686,30,0.04953624680638313,50
2020-03-09,-0.07948601245880127,20,-0.07441387325525284,30,-0.05543310567736626,50
2020-03-10,-0.15636226534843445,20,-0.15034359693527222,30,-0.10192301869392395,50
2020-03-11,0.111094631254673,20,0.07796070724725723,30,0.06517784297466278,50
2020-03-12,-0.14930658042430878,20,-0.1552990972995758,30,-0.13429315388202667,50
2020-03-13,0.03411991894245148,20,0.062283504754304886,30,0.04353667423129082,50
2020-03-16,-0.1010940670967102,20,-0.10227176547050476,30,-0.10331997275352478,50
2020-03-17,0.10092286765575409,20,0.07244101911783218,30,0.025865426287055016,50
2020-03-18,-0.009982967749238014,20,-0.02984730340540409,30,-0.04333549365401268,50
2020-03-19,-0.004702660255134106,20,-0.02115917019546032,30,-0.030202217400074005,50
2020-03-20,0.17925573885440826,20,0.10970214754343033,30,0.12054344266653061,50
2020-03-23,0.04805906489491463,20,0.029459254816174507,30,0.033240679651498795,50
2020-03-24,0.04784318059682846,20,0.05350378528237343,30,0.06144926697015762,50
2020-03-25,-0.07989740371704102,20,-0.03584810718894005,30,-0.034594327211380005,50
2020-03-26,-0.0049509345553815365,20,0.005662200972437859,30,-0.003054955042898655,50
2020-03-27,-0.02273223176598549,20,-0.026370791718363762,30,-0.021040115505456924,50
2020-03-30,-0.07192791253328323,20,-0.038524825125932693,30,-0.05459524318575859,50
2020-03-31,-0.0419461764395237,20,0.021591275930404663,30,0.010276404209434986,50
2020-04-01,-0.01152885239571333,20,-0.010145151987671852,30,-0.013965044170618057,50
2020-04-02,0.1303577721118927,20,0.12408512085676193,30,0.08893769234418869,50
2020-04-03,0.05089399963617325,20,0.03945447877049446,30,0.02378063276410103,50
2020-04-06,0.04587394744157791,20,0.030147574841976166,30,0.04678943753242493,50
2020-04-07,0.0058250813744962215,20,0.0253326203674078,30,0.023775476962327957,50
2020-04-08,-0.02756761945784092,20,-0.017005668953061104,30,-0.02074509859085083,50
2020-04-09,0.00028486549854278564,20,0.030493997037410736,30,0.021234096959233284,50
2020-04-13,-0.046789053827524185,20,-0.033224500715732574,30,-0.02880825847387314,50
2020-04-14,-0.016781264916062355,20,0.009027933701872826,30,-0.003946876619011164,50
2020-04-15,0.07246068865060806,20,0.0421333871781826,30,0.040370598435401917,50
2020-04-16,-0.023117581382393837,20,-0.026616720482707024,30,-0.02154408022761345,50
2020-04-17,-0.022796908393502235,20,-0.027666980400681496,30,-0.026812482625246048,50
2020-04-20,0.020197266712784767,20,0.02071681059896946,30,0.020575430244207382,50
2020-04-21,-0.0031435340642929077,20,-0.000378769647795707,30,-0.0005581140285357833,50
2020-04-22,0.0183140579611063,20,0.01676376722753048,30,0.009701167233288288,50
2020-04-23,0.019409868866205215,20,0.034022264182567596,30,0.035882774740457535,50
2020-04-24,0.011762792244553566,20,0.009478428401052952,30,0.023463314399123192,50
2020-04-27,0.09298311918973923,20,0.0306718610227108,30,0.02095087617635727,50
2020-04-28,-0.045525141060352325,20,-0.01228253822773695,30,-0.01565244421362877,50
2020-04-29,-0.05478254705667496,20,-0.024636277928948402,30,-0.016464460641145706,50
2020-04-30,0.014890724793076515,20,0.0020291705150157213,30,-0.006122482940554619,50
2020-05-01,0.00446545472368598,20,0.011354507878422737,30,0.00534836295992136,50
2020-05-04,-0.006565102841705084,20,-0.012698326259851456,30,-0.012138242833316326,50
2020-05-05,0.028006430715322495,20,0.0162536408752203,30,0.008294790051877499,50
2020-05-06,0.04029522091150284,20,0.03249316290020943,30,0.021674465388059616,50
2020-05-07,-0.025529343634843826,20,-0.0076476591639220715,30,-0.014401545748114586,50
2020-05-08,-0.03493881970643997,20,-0.020352521911263466,30,-0.01812736690044403,50
2020-05-11,-0.03249082714319229,20,-0.034493084996938705,30,-0.02441980317234993,50
2020-05-12,0.017337974160909653,20,0.0193569827824831,30,0.021032247692346573,50
2020-05-13,0.007487559225410223,20,0.00016516049799975008,30,-0.0007945036632008851,50
2020-05-14,0.08264042437076569,20,0.06571153551340103,30,0.04268132522702217,50
