datetime,instrument,score,label,rank
2020-02-10,P91461,0.004165072898550196,-0.07471669,38
2020-02-20,P89269,0.004621627368697333,-0.09375477,23
2020-02-20,P64186,0.0038489751651350616,-0.07748973,37
2020-02-20,P88860,0.0038489751651350616,-0.07742256,49
2020-02-21,P21186,0.0038489751651350616,-0.06973642,38
2020-02-24,P77462,0.0038489751651350616,-0.069178104,47
2020-02-25,P81045,0.010071237680962878,-0.08613336,26
2020-02-25,P12872,0.0038489751651350616,-0.08303046,47
2020-03-03,P23579,0.012461077988801422,-0.0929721,24
2020-03-03,P32707,0.0038489751651350616,-0.089919806,37
2020-03-05,P77649,0.006877983003645413,-0.07342547,21
2020-03-05,P19350,0.006877983003645413,-0.08558893,22
2020-03-05,P17743,0.006877983003645413,-0.08967394,24
2020-03-05,P78987,0.006877983003645413,-0.103495896,27
2020-03-05,P85792,0.006877983003645413,-0.13127619,28
2020-03-05,P91937,0.006877983003645413,-0.09230596,29
2020-03-05,P85257,0.006877983003645413,-0.1384998,33
2020-03-05,P27828,0.006877983003645413,-0.11443251,35
2020-03-05,P89258,0.006877983003645413,-0.1657356,36
2020-03-05,P27983,0.006877983003645413,-0.12112492,37
2020-03-05,P34746,0.006877983003645413,-0.17567569,38
2020-03-05,P53065,0.006877983003645413,-0.090319335,39
2020-03-05,P52230,0.006877983003645413,-0.08948231,40
2020-03-05,P75819,0.006877983003645413,-0.09471989,42
2020-03-05,P89017,0.006877983003645413,-0.07495868,44
2020-03-05,P80191,0.006877983003645413,-0.11670703,46
2020-03-05,P12650,0.006877983003645413,-0.15189016,47
2020-03-05,P81055,0.006877983003645413,-0.112042785,49
2020-03-05,P12558,0.006877983003645413,-0.16709775,50
2020-03-09,P38703,0.03791131961975473,-0.07839227,25
2020-03-09,P85663,0.03791131961975473,-0.07168126,28
2020-03-09,P49015,0.03791131961975473,-0.10225344,29
2020-03-09,P84032,0.03791131961975473,-0.13316792,33
2020-03-09,P92239,0.03791131961975473,-0.079125166,34
2020-03-09,P84129,0.03791131961975473,-0.07102978,35
2020-03-09,P77606,0.03791131961975473,-0.09996843,37
2020-03-09,P81655,0.03791131961975473,-0.14999998,38
