datetime,rank_21_50_excess_mean,rank_1_20_excess_mean,rank_51_100_excess_mean,bench
2021-12-08,-0.1481134593486786,-0.14603674411773682,-0.1484956294298172,0.15613389015197754
2020-03-11,-0.12631061673164368,-0.09317668527364731,-0.13909347355365753,0.2042713165283203
2022-06-10,-0.11465061455965042,-0.10781470686197281,-0.10760384798049927,0.10413742065429688
2020-03-16,-0.1110212504863739,-0.10984353721141815,-0.11206945776939392,0.00874948501586914
2023-05-23,-0.06296059489250183,-0.0663904994726181,-0.061006683856248856,0.060720086097717285
2020-03-05,-0.06267023086547852,-0.11208115518093109,-0.06175412982702255,-0.028710126876831055
2021-02-18,-0.0616639219224453,-0.0454675517976284,-0.05105190724134445,0.05431044101715088
2022-10-18,-0.05821622908115387,-0.05413266271352768,-0.054115619510412216,0.04449474811553955
2023-06-08,-0.056145038455724716,-0.05548519641160965,-0.05265011638402939,0.05989980697631836
2021-03-03,-0.04806233569979668,-0.04514272138476372,-0.04496430233120918,0.06645321846008301
