datetime,abs_diff_pp,excess_diff_hi_minus_lo_pp,overlap_count,n_holdings_lo,n_holdings_hi,overlap_pct_of_max,only_in_lo,only_in_hi
2020-03-17,5.8805,-5.8805,7,20,20,35.0,"['P12345', 'P15980', 'P16678', 'P21178', 'P21371']","['P10909', 'P12623', 'P13142', 'P18428', 'P19166']"
2020-03-09,5.1494,5.1494,11,20,22,50.0,"['P11891', 'P15980', 'P16678', 'P21371', 'P39490']","['P10909', 'P12623', 'P13142', 'P14702', 'P18428']"
2021-03-26,3.0979,3.0979,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2021-03-24,2.9899,2.9899,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2022-11-09,2.9018,-2.9018,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2022-04-21,2.706,-2.706,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2021-10-12,2.6358,2.6358,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2022-03-04,2.5416,2.5416,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2022-08-09,2.4955,2.4955,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2020-04-28,2.4813,-2.4813,5,22,21,22.7,"['P12558', 'P13641', 'P13760', 'P21178', 'P23660']","['P10909', 'P11891', 'P12623', 'P13928', 'P16431']"
2023-10-09,2.4486,2.4486,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2020-03-31,2.4308,2.4308,4,21,21,19.0,"['P13949', 'P16678', 'P21178', 'P21371', 'P40539']","['P10909', 'P12623', 'P13983', 'P14338', 'P24643']"
2020-08-07,2.4242,2.4242,7,21,22,31.8,"['P14277', 'P32803', 'P49015', 'P49373', 'P55976']","['P12073', 'P12542', 'P13035', 'P18428', 'P19285']"
2023-02-02,2.3507,-2.3507,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2020-03-23,2.3336,-2.3336,4,20,21,19.0,"['P15980', 'P16678', 'P19561', 'P21178', 'P21371']","['P10909', 'P12623', 'P13142', 'P14338', 'P21776']"
2020-03-24,2.31,-2.31,4,22,21,18.2,"['P15980', 'P16678', 'P19561', 'P21178', 'P21371']","['P10909', 'P12623', 'P14338', 'P21776', 'P23819']"
2020-04-01,2.2734,2.2734,2,20,22,9.1,"['P13949', 'P16678', 'P21178', 'P21371', 'P40539']","['P10909', 'P12623', 'P13983', 'P14338', 'P19561']"
2022-12-13,2.2257,2.2257,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2022-02-15,2.2204,-2.2204,4,22,22,18.2,"['P13760', 'P35044', 'P51369', 'P52329', 'P67598']","['P11891', 'P12073', 'P12542', 'P13035', 'P18428']"
2020-03-06,2.2178,2.2178,12,22,21,54.5,"['P11891', 'P15069', 'P15980', 'P16678', 'P21371']","['P10909', 'P12623', 'P13142', 'P14702', 'P18428']"
