datetime,excess_return_lo,turnover_lo,excess_return_hi,turnover_hi,excess_diff_hi_minus_lo,abs_diff
2020-01-02,-0.01830887794494629,0.0,-0.01830887794494629,0.0,0.0,0.0
2020-01-03,0.003426860300368667,0.9499934547494666,0.003426860300368667,0.9499934547494666,0.0,0.0
2020-01-06,-0.003529193436472133,0.047419478320316275,-0.003529193436472133,0.047419478320316275,0.0,0.0
2020-01-07,-0.007470595983898432,0.0,-0.007470595983898432,0.0,0.0,0.0
2020-01-08,0.006284308465700907,0.0,0.006284308465700907,0.0,0.0,0.0
2020-01-09,-0.0009788247626067279,0.0,-0.0009788247626067279,0.0,0.0,0.0
2020-01-10,-0.008528839157729947,0.0,-0.008528839157729947,0.0,0.0,0.0
2020-01-13,0.007220692434926236,0.0,0.007220692434926236,0.0,0.0,0.0
2020-01-14,-0.009516071761398386,0.0,-0.009516071761398386,0.0,0.0,0.0
2020-01-15,0.005067160442664767,0.0,0.005067160442664767,0.0,0.0,0.0
2020-01-16,-0.0032599463275234334,0.0,-0.0032599463275234334,0.0,0.0,0.0
2020-01-17,0.007204593625498211,0.09200474215031368,0.007213794099712919,0.0,9.200474214708307e-06,9.200474214708307e-06
2020-01-21,-0.0052039576885733775,0.27455155002582676,-0.005400925206650965,0.0,-0.00019696751807758792,0.00019696751807758792
2020-01-22,0.005525173107097491,0.10623921166130515,0.006039827562923,0.0,0.0005146544558255091,0.0005146544558255091
2020-01-23,-0.0004799353371131015,0.0966923538951753,6.876819788711672e-05,0.0,0.0005487035350002182,0.0005487035350002182
2020-01-24,0.00827926189306495,0.08348219532172677,0.007109815182682335,0.0,-0.001169446710382615,0.001169446710382615
2020-01-27,0.008518977223463904,0.1974556260061375,0.008246634974811283,0.10072815213892415,-0.00027234224865262113,0.00027234224865262113
2020-01-28,-0.006438839328608384,0.19512754082551353,-0.010100533144683952,0.291927495885251,-0.003661693816075569,0.003661693816075569
2020-01-29,0.004837681109935303,0.09617208245097715,0.00927519829172328,0.17674448203637919,0.004437517181787976,0.004437517181787976
2020-01-30,-0.005129542318389155,0.0024617628712477954,-0.003525427331642042,0.18542235433697496,0.001604114986747113,0.001604114986747113
2020-01-31,0.0007906227579226227,0.05178857650945598,-0.0024959730452833355,0.19586275939000355,-0.003286595803205958,0.003286595803205958
2020-02-03,-0.005219961696315268,0.05008609296255552,-0.005666617539778753,0.10138099755894983,-0.0004466558434634846,0.0004466558434634846
2020-02-04,-0.0013647452614530646,0.0,0.004276099488794301,0.18684318290369026,0.005640844750247366,0.005640844750247366
