datetime,abs_diff_pp,excess_diff_hi_minus_lo_pp,overlap_count,n_holdings_lo,n_holdings_hi,overlap_pct_of_max,only_in_lo,only_in_hi
2020-03-18,5.0918,5.0918,7,21,22,31.8,"['P12060', 'P13760', 'P13983', 'P14714', 'P15980']","['P11786', 'P13142', 'P15579', 'P16431', 'P19166']"
2020-11-09,5.0856,5.0856,3,21,22,13.6,"['P14593', 'P14889', 'P19561', 'P23393', 'P25785']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2022-06-23,4.4868,4.4868,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2022-10-19,4.292,4.292,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2020-03-16,4.1362,4.1362,8,22,22,36.4,"['P12060', 'P13760', 'P13983', 'P14714', 'P15980']","['P11786', 'P13142', 'P15579', 'P16431', 'P19166']"
2022-11-01,3.7963,3.7963,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2020-03-24,3.4172,-3.4172,5,20,20,25.0,"['P12060', 'P13983', 'P14714', 'P15980', 'P24109']","['P11786', 'P11891', 'P13356', 'P15579', 'P16431']"
2023-11-02,3.2235,-3.2235,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2021-11-03,3.1473,-3.1473,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2020-11-04,3.0192,-3.0192,2,22,22,9.1,"['P14593', 'P14889', 'P19561', 'P23393', 'P25785']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2022-03-29,2.9456,2.9456,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2022-03-10,2.9056,-2.9056,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2022-10-10,2.8102,-2.8102,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2020-03-26,2.7174,-2.7174,7,20,21,33.3,"['P13983', 'P19561', 'P24109', 'P59010', 'P61815']","['P11786', 'P11891', 'P13356', 'P15579', 'P16431']"
2023-03-22,2.6073,2.6073,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2023-07-10,2.5854,2.5854,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2022-10-14,2.572,2.572,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2022-08-19,2.5717,2.5717,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2021-02-16,2.5679,-2.5679,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
2023-11-15,2.5673,-2.5673,2,22,22,9.1,"['P14593', 'P19166', 'P21936', 'P23393', 'P35044']","['P11891', 'P12073', 'P12431', 'P12542', 'P13035']"
