datetime,abs_diff_pp,excess_diff_hi_minus_lo_pp,overlap_count,n_holdings_lo,n_holdings_hi,overlap_pct_of_max,only_in_lo,only_in_hi
2020-03-18,6.3154,-6.3154,6,21,22,27.3,"['P12623', 'P15579', 'P23536', 'P24643', 'P32803']","['P13760', 'P13983', 'P15980', 'P16678', 'P17478']"
2020-03-19,5.4592,5.4592,5,20,22,22.7,"['P12623', 'P15579', 'P23536', 'P24643', 'P32803']","['P13760', 'P13901', 'P13983', 'P15980', 'P16678']"
2022-09-30,5.4131,5.4131,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2021-11-05,4.9623,-4.9623,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2020-03-23,4.9081,4.9081,3,21,21,14.3,"['P12623', 'P13586', 'P15579', 'P23536', 'P24643']","['P13760', 'P13901', 'P13983', 'P15980', 'P16678']"
2023-11-02,4.1774,-4.1774,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2020-03-17,4.0687,-4.0687,6,21,22,27.3,"['P12623', 'P15579', 'P23536', 'P32803', 'P39490']","['P13760', 'P13983', 'P15980', 'P16678', 'P17478']"
2022-10-04,4.0025,-4.0025,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2021-01-04,3.8892,3.8892,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2022-06-16,3.7911,3.7911,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2022-06-24,3.7836,-3.7836,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2021-01-06,3.7198,3.7198,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2021-07-21,3.6926,-3.6926,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2020-03-26,3.5792,-3.5792,5,22,22,22.7,"['P12623', 'P13586', 'P15579', 'P23536', 'P24109']","['P13760', 'P13901', 'P15980', 'P16678', 'P17478']"
2020-03-09,3.5585,-3.5585,6,22,22,27.3,"['P12623', 'P15579', 'P21371', 'P23536', 'P32803']","['P13760', 'P13983', 'P15980', 'P16678', 'P17478']"
2022-05-09,3.4265,3.4265,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
2020-04-29,3.2858,-3.2858,6,22,21,27.3,"['P13142', 'P13586', 'P16692', 'P23660', 'P24109']","['P11891', 'P14295', 'P15980', 'P17478', 'P18420']"
2020-03-27,3.2498,-3.2498,5,22,22,22.7,"['P12623', 'P13586', 'P15579', 'P23536', 'P24109']","['P13760', 'P13901', 'P15980', 'P16678', 'P17478']"
2020-03-12,3.2173,-3.2173,6,21,22,27.3,"['P12623', 'P15579', 'P23536', 'P32803', 'P39490']","['P13760', 'P13983', 'P15980', 'P16678', 'P17478']"
2021-12-02,3.2055,-3.2055,5,22,22,22.7,"['P13641', 'P14593', 'P15069', 'P18542', 'P19166']","['P11891', 'P12073', 'P13447', 'P13936', 'P16538']"
