period,start,end,mean_ic,mean_rank_ic,icir,rank_icir,n_trading_days,n_observations
2020Q1_COVID,2020-01-01,2020-03-31,-0.00672346766151025,-0.007815805578225156,-0.05934222969475112,-0.10672768908736745,62,31308
2020Q2_2021_recovery,2020-04-01,2021-12-31,0.002594277909657289,0.0012459498665267142,0.03227377620108855,0.016841780491812182,443,223706
2022_2023_post_covid,2022-01-01,2023-12-31,0.0077320982951228365,0.004576613062339093,0.10931526668331804,0.0695040544788207,501,252179
