datetime,abs_diff_pp,excess_diff_hi_minus_lo_pp,overlap_count,n_holdings_lo,n_holdings_hi,overlap_pct_of_max,only_in_lo,only_in_hi
2020-03-23,5.7995,5.7995,7,21,20,33.3,"['P12981', 'P13356', 'P13936', 'P18724', 'P32803']","['P15980', 'P19561', 'P21178', 'P21371', 'P25785']"
2020-03-17,5.4455,5.4455,7,20,20,35.0,"['P13356', 'P13936', 'P16431', 'P32803', 'P58246']","['P12345', 'P15980', 'P18420', 'P21178', 'P21371']"
2020-03-24,5.4321,5.4321,7,22,22,31.8,"['P12981', 'P13356', 'P13936', 'P18724', 'P22517']","['P15980', 'P19561', 'P21178', 'P21371', 'P25785']"
2020-04-02,4.7897,-4.7897,3,20,20,15.0,"['P12981', 'P13356', 'P13936', 'P18724', 'P21792']","['P13949', 'P14338', 'P21178', 'P40539', 'P46703']"
2020-03-09,4.2882,-4.2882,9,20,20,45.0,"['P13356', 'P14277', 'P16851', 'P32803', 'P58246']","['P15980', 'P18420', 'P19166', 'P21371', 'P39490']"
2022-04-21,4.1706,4.1706,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2020-04-28,3.9855,3.9855,5,22,22,22.7,"['P11891', 'P12431', 'P13928', 'P15069', 'P16678']","['P12558', 'P13641', 'P13760', 'P21178', 'P23660']"
2022-03-21,3.6991,-3.6991,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2021-03-26,3.5818,-3.5818,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2022-06-23,3.5724,3.5724,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2021-03-24,3.5522,-3.5522,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2022-05-09,3.5378,3.5378,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2020-03-13,3.5171,-3.5171,7,21,20,33.3,"['P13356', 'P13936', 'P16431', 'P28804', 'P32803']","['P12345', 'P15980', 'P18420', 'P21371', 'P25785']"
2020-04-06,3.3149,3.3149,5,21,20,23.8,"['P13356', 'P18724', 'P21792', 'P24643', 'P28388']","['P13103', 'P13760', 'P14338', 'P21178', 'P40539']"
2022-09-23,3.3054,3.3054,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2022-11-09,3.2844,3.2844,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2023-10-09,3.2777,-3.2777,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2022-03-10,3.2774,-3.2774,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
2020-03-30,3.2532,-3.2532,4,20,21,19.0,"['P12981', 'P13356', 'P13936', 'P18724', 'P21792']","['P13949', 'P19561', 'P21178', 'P21371', 'P40539']"
2022-03-04,3.1937,-3.1937,6,22,22,27.3,"['P12542', 'P12650', 'P13641', 'P13928', 'P19285']","['P13760', 'P24643', 'P35044', 'P51369', 'P52329']"
